county_id,state,county
1,Alabama,Autauga County
2,Alabama,Baldwin County
3,Alabama,Barbour County
4,Alabama,Bibb County
5,Alabama,Blount County
6,Alabama,Bullock County
7,Alabama,Butler County
8,Alabama,Calhoun County
9,Alabama,Chambers County
10,Alabama,Cherokee County
11,Alabama,Chilton County
12,Alabama,Choctaw County
13,Alabama,Clarke County
14,Alabama,Clay County
15,Alabama,Cleburne County
16,Alabama,Coffee County
17,Alabama,Colbert County
18,Alabama,Conecuh County
19,Alabama,Coosa County
20,Alabama,Covington County
21,Alabama,Crenshaw County
22,Alabama,Cullman County
23,Alabama,Dale County
24,Alabama,Dallas County
25,Alabama,DeKalb County
26,Alabama,Elmore County
27,Alabama,Escambia County
28,Alabama,Etowah County
29,Alabama,Fayette County
30,Alabama,Franklin County
31,Alabama,Geneva County
32,Alabama,Greene County
33,Alabama,Hale County
34,Alabama,Henry County
35,Alabama,Houston County
36,Alabama,Jackson County
37,Alabama,Jefferson County
38,Alabama,Lamar County
39,Alabama,Lauderdale County
40,Alabama,Lawrence County
41,Alabama,Lee County
42,Alabama,Limestone County
43,Alabama,Lowndes County
44,Alabama,Macon County
45,Alabama,Madison County
46,Alabama,Marengo County
47,Alabama,Marion County
48,Alabama,Marshall County
49,Alabama,Mobile County
50,Alabama,Monroe County
51,Alabama,Montgomery County
52,Alabama,Morgan County
53,Alabama,Perry County
54,Alabama,Pickens County
55,Alabama,Pike County
56,Alabama,Randolph County
57,Alabama,Russell County
58,Alabama,St. Clair County
59,Alabama,Shelby County
60,Alabama,Sumter County
61,Alabama,Talladega County
62,Alabama,Tallapoosa County
63,Alabama,Tuscaloosa County
64,Alabama,Walker County
65,Alabama,Washington County
66,Alabama,Wilcox County
67,Alabama,Winston County
68,Alaska,Aleutians East Borough
69,Alaska,Aleutians West Census Area
70,Alaska,Anchorage Borough
71,Alaska,Bethel Census Area
72,Alaska,Bristol Bay Borough
73,Alaska,Denali Borough
74,Alaska,Dillingham Census Area
75,Alaska,Fairbanks North Star Borough
76,Alaska,Haines Borough
77,Alaska,Hoonah-Angoon Census Area
78,Alaska,Juneau Borough
79,Alaska,Kenai Peninsula Borough
80,Alaska,Ketchikan Gateway Borough
81,Alaska,Kodiak Island Borough
82,Alaska,Kusilvak Census Area
83,Alaska,Lake and Peninsula Borough
84,Alaska,Matanuska-Susitna Borough
85,Alaska,Nome Census Area
86,Alaska,North Slope Borough
87,Alaska,Northwest Arctic Borough
88,Alaska,Petersburg Borough
89,Alaska,Prince of Wales-Hyder Census Area
90,Alaska,Sitka Borough
91,Alaska,Skagway Municipality
92,Alaska,Southeast Fairbanks Census Area
93,Alaska,Valdez-Cordova Census Area
94,Alaska,Wrangell City and Borough
95,Alaska,Yakutat Borough
96,Alaska,Yukon-Koyukuk Census Area
97,Arizona,Apache County
98,Arizona,Cochise County
99,Arizona,Coconino County
100,Arizona,Gila County
101,Arizona,Graham County
102,Arizona,Greenlee County
103,Arizona,La Paz County
104,Arizona,Maricopa County
105,Arizona,Mohave County
106,Arizona,Navajo County
107,Arizona,Pima County
108,Arizona,Pinal County
109,Arizona,Santa Cruz County
110,Arizona,Yavapai County
111,Arizona,Yuma County
112,Arkansas,Arkansas County
113,Arkansas,Ashley County
114,Arkansas,Baxter County
115,Arkansas,Benton County
116,Arkansas,Boone County
117,Arkansas,Bradley County
118,Arkansas,Calhoun County
119,Arkansas,Carroll County
120,Arkansas,Chicot County
121,Arkansas,Clark County
122,Arkansas,Clay County
123,Arkansas,Cleburne County
124,Arkansas,Cleveland County
125,Arkansas,Columbia County
126,Arkansas,Conway County
127,Arkansas,Craighead County
128,Arkansas,Crawford County
129,Arkansas,Crittenden County
130,Arkansas,Cross County
131,Arkansas,Dallas County
132,Arkansas,Desha County
133,Arkansas,Drew County
134,Arkansas,Faulkner County
135,Arkansas,Franklin County
136,Arkansas,Fulton County
137,Arkansas,Garland County
138,Arkansas,Grant County
139,Arkansas,Greene County
140,Arkansas,Hempstead County
141,Arkansas,Hot Spring County
142,Arkansas,Howard County
143,Arkansas,Independence County
144,Arkansas,Izard County
145,Arkansas,Jackson County
146,Arkansas,Jefferson County
147,Arkansas,Johnson County
148,Arkansas,Lafayette County
149,Arkansas,Lawrence County
150,Arkansas,Lee County
151,Arkansas,Lincoln County
152,Arkansas,Little River County
153,Arkansas,Logan County
154,Arkansas,Lonoke County
155,Arkansas,Madison County
156,Arkansas,Marion County
157,Arkansas,Miller County
158,Arkansas,Mississippi County
159,Arkansas,Monroe County
160,Arkansas,Montgomery County
161,Arkansas,Nevada County
162,Arkansas,Newton County
163,Arkansas,Ouachita County
164,Arkansas,Perry County
165,Arkansas,Phillips County
166,Arkansas,Pike County
167,Arkansas,Poinsett County
168,Arkansas,Polk County
169,Arkansas,Pope County
170,Arkansas,Prairie County
171,Arkansas,Pulaski County
172,Arkansas,Randolph County
173,Arkansas,St. Francis County
174,Arkansas,Saline County
175,Arkansas,Scott County
176,Arkansas,Searcy County
177,Arkansas,Sebastian County
178,Arkansas,Sevier County
179,Arkansas,Sharp County
180,Arkansas,Stone County
181,Arkansas,Union County
182,Arkansas,Van Buren County
183,Arkansas,Washington County
184,Arkansas,White County
185,Arkansas,Woodruff County
186,Arkansas,Yell County
187,California,Alameda County
188,California,Alpine County
189,California,Amador County
190,California,Butte County
191,California,Calaveras County
192,California,Colusa County
193,California,Contra Costa County
194,California,Del Norte County
195,California,El Dorado County
196,California,Fresno County
197,California,Glenn County
198,California,Humboldt County
199,California,Imperial County
200,California,Inyo County
201,California,Kern County
202,California,Kings County
203,California,Lake County
204,California,Lassen County
205,California,Los Angeles County
206,California,Madera County
207,California,Marin County
208,California,Mariposa County
209,California,Mendocino County
210,California,Merced County
211,California,Modoc County
212,California,Mono County
213,California,Monterey County
214,California,Napa County
215,California,Nevada County
216,California,Orange County
217,California,Placer County
218,California,Plumas County
219,California,Riverside County
220,California,Sacramento County
221,California,San Benito County
222,California,San Bernardino County
223,California,San Diego County
224,California,San Francisco County
225,California,San Joaquin County
226,California,San Luis Obispo County
227,California,San Mateo County
228,California,Santa Barbara County
229,California,Santa Clara County
230,California,Santa Cruz County
231,California,Shasta County
232,California,Sierra County
233,California,Siskiyou County
234,California,Solano County
235,California,Sonoma County
236,California,Stanislaus County
237,California,Sutter County
238,California,Tehama County
239,California,Trinity County
240,California,Tulare County
241,California,Tuolumne County
242,California,Ventura County
243,California,Yolo County
244,California,Yuba County
245,Colorado,Adams County
246,Colorado,Alamosa County
247,Colorado,Arapahoe County
248,Colorado,Archuleta County
249,Colorado,Baca County
250,Colorado,Bent County
251,Colorado,Boulder County
252,Colorado,Broomfield County
253,Colorado,Chaffee County
254,Colorado,Cheyenne County
255,Colorado,Clear Creek County
256,Colorado,Conejos County
257,Colorado,Costilla County
258,Colorado,Crowley County
259,Colorado,Custer County
260,Colorado,Delta County
261,Colorado,Denver County
262,Colorado,Dolores County
263,Colorado,Douglas County
264,Colorado,Eagle County
265,Colorado,Elbert County
266,Colorado,El Paso County
267,Colorado,Fremont County
268,Colorado,Garfield County
269,Colorado,Gilpin County
270,Colorado,Grand County
271,Colorado,Gunnison County
272,Colorado,Hinsdale County
273,Colorado,Huerfano County
274,Colorado,Jackson County
275,Colorado,Jefferson County
276,Colorado,Kiowa County
277,Colorado,Kit Carson County
278,Colorado,Lake County
279,Colorado,La Plata County
280,Colorado,Larimer County
281,Colorado,Las Animas County
282,Colorado,Lincoln County
283,Colorado,Logan County
284,Colorado,Mesa County
285,Colorado,Mineral County
286,Colorado,Moffat County
287,Colorado,Montezuma County
288,Colorado,Montrose County
289,Colorado,Morgan County
290,Colorado,Otero County
291,Colorado,Ouray County
292,Colorado,Park County
293,Colorado,Phillips County
294,Colorado,Pitkin County
295,Colorado,Prowers County
296,Colorado,Pueblo County
297,Colorado,Rio Blanco County
298,Colorado,Rio Grande County
299,Colorado,Routt County
300,Colorado,Saguache County
301,Colorado,San Juan County
302,Colorado,San Miguel County
303,Colorado,Sedgwick County
304,Colorado,Summit County
305,Colorado,Teller County
306,Colorado,Washington County
307,Colorado,Weld County
308,Colorado,Yuma County
309,Connecticut,Fairfield County
310,Connecticut,Hartford County
311,Connecticut,Litchfield County
312,Connecticut,Middlesex County
313,Connecticut,New Haven County
314,Connecticut,New London County
315,Connecticut,Tolland County
316,Connecticut,Windham County
317,Delaware,Kent County
318,Delaware,New Castle County
319,Delaware,Sussex County
320,District of Columbia,District of Columbia
321,Florida,Alachua County
322,Florida,Baker County
323,Florida,Bay County
324,Florida,Bradford County
325,Florida,Brevard County
326,Florida,Broward County
327,Florida,Calhoun County
328,Florida,Charlotte County
329,Florida,Citrus County
330,Florida,Clay County
331,Florida,Collier County
332,Florida,Columbia County
333,Florida,DeSoto County
334,Florida,Dixie County
335,Florida,Duval County
336,Florida,Escambia County
337,Florida,Flagler County
338,Florida,Franklin County
339,Florida,Gadsden County
340,Florida,Gilchrist County
341,Florida,Glades County
342,Florida,Gulf County
343,Florida,Hamilton County
344,Florida,Hardee County
345,Florida,Hendry County
346,Florida,Hernando County
347,Florida,Highlands County
348,Florida,Hillsborough County
349,Florida,Holmes County
350,Florida,Indian River County
351,Florida,Jackson County
352,Florida,Jefferson County
353,Florida,Lafayette County
354,Florida,Lake County
355,Florida,Lee County
356,Florida,Leon County
357,Florida,Levy County
358,Florida,Liberty County
359,Florida,Madison County
360,Florida,Manatee County
361,Florida,Marion County
362,Florida,Martin County
363,Florida,Miami-Dade County
364,Florida,Monroe County
365,Florida,Nassau County
366,Florida,Okaloosa County
367,Florida,Okeechobee County
368,Florida,Orange County
369,Florida,Osceola County
370,Florida,Palm Beach County
371,Florida,Pasco County
372,Florida,Pinellas County
373,Florida,Polk County
374,Florida,Putnam County
375,Florida,St. Johns County
376,Florida,St. Lucie County
377,Florida,Santa Rosa County
378,Florida,Sarasota County
379,Florida,Seminole County
380,Florida,Sumter County
381,Florida,Suwannee County
382,Florida,Taylor County
383,Florida,Union County
384,Florida,Volusia County
385,Florida,Wakulla County
386,Florida,Walton County
387,Florida,Washington County
388,Georgia,Appling County
389,Georgia,Atkinson County
390,Georgia,Bacon County
391,Georgia,Baker County
392,Georgia,Baldwin County
393,Georgia,Banks County
394,Georgia,Barrow County
395,Georgia,Bartow County
396,Georgia,Ben Hill County
397,Georgia,Berrien County
398,Georgia,Bibb County
399,Georgia,Bleckley County
400,Georgia,Brantley County
401,Georgia,Brooks County
402,Georgia,Bryan County
403,Georgia,Bulloch County
404,Georgia,Burke County
405,Georgia,Butts County
406,Georgia,Calhoun County
407,Georgia,Camden County
408,Georgia,Candler County
409,Georgia,Carroll County
410,Georgia,Catoosa County
411,Georgia,Charlton County
412,Georgia,Chatham County
413,Georgia,Chattahoochee County
414,Georgia,Chattooga County
415,Georgia,Cherokee County
416,Georgia,Clarke County
417,Georgia,Clay County
418,Georgia,Clayton County
419,Georgia,Clinch County
420,Georgia,Cobb County
421,Georgia,Coffee County
422,Georgia,Colquitt County
423,Georgia,Columbia County
424,Georgia,Cook County
425,Georgia,Coweta County
426,Georgia,Crawford County
427,Georgia,Crisp County
428,Georgia,Dade County
429,Georgia,Dawson County
430,Georgia,Decatur County
431,Georgia,DeKalb County
432,Georgia,Dodge County
433,Georgia,Dooly County
434,Georgia,Dougherty County
435,Georgia,Douglas County
436,Georgia,Early County
437,Georgia,Echols County
438,Georgia,Effingham County
439,Georgia,Elbert County
440,Georgia,Emanuel County
441,Georgia,Evans County
442,Georgia,Fannin County
443,Georgia,Fayette County
444,Georgia,Floyd County
445,Georgia,Forsyth County
446,Georgia,Franklin County
447,Georgia,Fulton County
448,Georgia,Gilmer County
449,Georgia,Glascock County
450,Georgia,Glynn County
451,Georgia,Gordon County
452,Georgia,Grady County
453,Georgia,Greene County
454,Georgia,Gwinnett County
455,Georgia,Habersham County
456,Georgia,Hall County
457,Georgia,Hancock County
458,Georgia,Haralson County
459,Georgia,Harris County
460,Georgia,Hart County
461,Georgia,Heard County
462,Georgia,Henry County
463,Georgia,Houston County
464,Georgia,Irwin County
465,Georgia,Jackson County
466,Georgia,Jasper County
467,Georgia,Jeff Davis County
468,Georgia,Jefferson County
469,Georgia,Jenkins County
470,Georgia,Johnson County
471,Georgia,Jones County
472,Georgia,Lamar County
473,Georgia,Lanier County
474,Georgia,Laurens County
475,Georgia,Lee County
476,Georgia,Liberty County
477,Georgia,Lincoln County
478,Georgia,Long County
479,Georgia,Lowndes County
480,Georgia,Lumpkin County
481,Georgia,McDuffie County
482,Georgia,McIntosh County
483,Georgia,Macon County
484,Georgia,Madison County
485,Georgia,Marion County
486,Georgia,Meriwether County
487,Georgia,Miller County
488,Georgia,Mitchell County
489,Georgia,Monroe County
490,Georgia,Montgomery County
491,Georgia,Morgan County
492,Georgia,Murray County
493,Georgia,Muscogee County
494,Georgia,Newton County
495,Georgia,Oconee County
496,Georgia,Oglethorpe County
497,Georgia,Paulding County
498,Georgia,Peach County
499,Georgia,Pickens County
500,Georgia,Pierce County
501,Georgia,Pike County
502,Georgia,Polk County
503,Georgia,Pulaski County
504,Georgia,Putnam County
505,Georgia,Quitman County
506,Georgia,Rabun County
507,Georgia,Randolph County
508,Georgia,Richmond County
509,Georgia,Rockdale County
510,Georgia,Schley County
511,Georgia,Screven County
512,Georgia,Seminole County
513,Georgia,Spalding County
514,Georgia,Stephens County
515,Georgia,Stewart County
516,Georgia,Sumter County
517,Georgia,Talbot County
518,Georgia,Taliaferro County
519,Georgia,Tattnall County
520,Georgia,Taylor County
521,Georgia,Telfair County
522,Georgia,Terrell County
523,Georgia,Thomas County
524,Georgia,Tift County
525,Georgia,Toombs County
526,Georgia,Towns County
527,Georgia,Treutlen County
528,Georgia,Troup County
529,Georgia,Turner County
530,Georgia,Twiggs County
531,Georgia,Union County
532,Georgia,Upson County
533,Georgia,Walker County
534,Georgia,Walton County
535,Georgia,Ware County
536,Georgia,Warren County
537,Georgia,Washington County
538,Georgia,Wayne County
539,Georgia,Webster County
540,Georgia,Wheeler County
541,Georgia,White County
542,Georgia,Whitfield County
543,Georgia,Wilcox County
544,Georgia,Wilkes County
545,Georgia,Wilkinson County
546,Georgia,Worth County
547,Hawaii,Hawaii County
548,Hawaii,Honolulu County
549,Hawaii,Kauai County
