Year,State,"Poverty Percent, Age 5-17 in Families",Median Household Income
2013,Alabama,25.6,42882
2013,Alaska,12.5,70058
2013,Arizona,25,48504
2013,Arkansas,26.4,40605
2013,California,22.5,60185
2013,Colorado,15.7,58942
2013,Connecticut,13.3,67262
2013,Delaware,17.5,58244
2013,District of Columbia,29.9,66326
2013,Florida,23.5,46021
2013,Georgia,24.9,47765
2013,Hawaii,13.9,67798
2013,Idaho,18.3,46621
2013,Illinois,19.6,56212
2013,Indiana,20,47508
2013,Iowa,15,52286
2013,Kansas,16.5,50892
2013,Kentucky,23.7,43307
2013,Louisiana,27,44234
2013,Maine,16.4,47095
2013,Maryland,12.5,72482
2013,Massachusetts,15.2,66794
2013,Michigan,21.6,48200
2013,Minnesota,13.1,60664
2013,Mississippi,32.4,38191
2013,Missouri,20.5,46905
2013,Montana,19.3,46893
2013,Nebraska,15,51502
2013,Nevada,21.1,51250
2013,New Hampshire,9.9,64064
2013,New Jersey,15.2,70224
2013,New Mexico,28.5,44026
2013,New York,22.2,57255
2013,North Carolina,23.6,45946
2013,North Dakota,11.3,56800
2013,Ohio,20.8,48138
2013,Oklahoma,21.7,45724
2013,Oregon,19.3,50228
2013,Pennsylvania,17.5,52005
2013,Rhode Island,20.2,55015
2013,South Carolina,25.2,44310
2013,South Dakota,17.3,49200
2013,Tennessee,24.3,44268
2013,Texas,23.8,51714
2013,Utah,13.6,59715
2013,Vermont,13.3,52511
2013,Virginia,14.4,62745
2013,Washington,17.6,58431
2013,West Virginia,23.9,41195
2013,Wisconsin,16.8,51474
2013,Wyoming,12,58424
